File,Ground_Truth,Stage1_Analysis,Stage2b_Literal,Final_Prediction,CER,WER
100383_img076.jpg,"mente lo fue de esta Ciudad y la Juro ha - comprendido el tenor del estado auto y requisitoria presente. Dixo que la via y que cumplia como tambien interesa con lo que de la manda lo qual respondio y firmo en fe de ello p.o el escribano
Dulcena
En la Nefertia Ciudad el mencionado dia mes y año yo el escrutinante por Da Lucia de Honores madre Lexitima de Don Joseph Santos Cabrera ya difunto y ma nido Lexitimo que fue de Do Josepha Anta de Guadra y dha Da Lucia suegra de sta para efecto de notificar dhos auto y Requisi toria, a diferentes personas de la Ciudad: tenian en ella muchas amistades y comuni caciones y todas conformem. me respondieron que hacia muchos años havia sido la mejor dha de esta Ciudad y que conservan su paradero. Y para que conste, puse por fe y","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderately legible, with some words and phrases more clearly written than others. There are margin notes, crossed-out words, and what appears to be a seal or stamp in the upper right corner, suggesting it might be an official document.","mente lo que de esta Ciudad, y la Surotha comprendido el tenor del citado auto y requisitoria precedente: Dixo que la via y que cumplira como tam intencionada con lo que se le manda lo qual respondieron firmo y en fe de ello yo el ci  En la referida Ciudad el mencionado día mes y años de  pregunté por Dn Lucía de Henrero madre Lexitima de Dn Joseph Santos Cabrera ya difunto y ma rido Lexitimo que fue de Dn Josepha Ant de Guandia y dha Dn Lucía suegra de sta para efecto de notificaren dhs auto y requis toria, a diferencia personas de la Ciudad tenian en ella mucha amistad y comuni cacion, y todas conformem. me respondie ron que hacia muchos años habia sido la mora dha de esta Ciudad y que ignorauan su panadero. Y para que conste, puse por fe","---

mente lo que de esta Ciudad, y la Suretha comprendido el tenor de citado auto y requisitorio precedente: Dixo que la vía y que cumplirá como tan intencionada con lo que le manda lo cual respondieron firmó y en fe de ello yo el ci
  En la referida Ciudad, el mencionado día mes y año de  pregunté por Don Lucía de Henrero, madre legitima de Don José Santos Cabrera, ya difunto y ma rido legítimo que fue de Don Josefa Ant de Guandia, y de Dona Lucía, suegra de esta para efecto de notificaren dichos auto y requis toria, a diferentes personas de la Ciudad tenían en ella mucha amistad y comunica ción, y todas conformem. Me respondie ron que hacía muchos años había sido la mora dona de esta Ciudad, y que ignoraban su panadero. Y, para que conste, puse por fe

---",0.2173,0.5411
100383_img061.jpg,"te testimoniõ me fueron entregados? por el Señor Dn Joseph Solano Cavallero, Alondon del Sano hijo Capº de Navío Ola Rl? Amado Htº de la Compa de Cavallos Cicarios Uxama?, en oy Capn Gral de esta proª aúin Cargo connen los negocios encomendados Ola Rl? Expección el Limites, y linea divisiona fronteralas comunes de España y Pontegal, por la Parre del Río Marañon, y Demandador Allmiño Señor los he hecho Com pular po acfeto al Monitorlo al Señor Presidente Ola Rl? Antª de la Comnara? en alas Indias en cada Cinco onys Conserva copia Devoulvi al Nferido Señor Don Joseph Capn Gral; son Cenoz y Verdadera. Sinata el por ni mor Phezo. En papel de bello Segundo, y los Demás el comun, y Onfe Reellos lo cifro y fane en Caracas á ocho años del utanso de mil setecientos sesenta y ocho años - Intesimo y P es Rial. Joseph de Levanto o? rmo Donnap. Sellado y Blanco Secretario de seis y merio - Damos fe q e Don Iph lceleraldo Ag Francisco Agenadi y parriado la Copia anmocar el el ss ño con numr Ollera Cuid y asu Consentae Siempre se lelso ha dado y Da encrese feep ta sen deuda Confirma y p a q e conble lo Cenafica ros y firmanm en Caracas a cinco de Marzo mille Setecientos y Setenay Ocho años - Juan Antº de Saul Manuele Herrero no co - Josephunaro no co - 5 p co. 8 s p co.","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderately legible, with some parts clearer than others. There are no visible margin notes, crossed-out words, or multiple columns, but there are stamps and what appears to be a seal at the bottom.","Te testimonios me fueron otorgados por el Senor
Don José Solano Cavallero, Al orden del mismo hago cap
del navio de la Real Armada que ella compone el Cavalleria
nos fué mandado traernos, por yo y Cap. Genl. Alejandra Rosa
aviso cargo conocer los negocios correspondientes de la Real
expedición de Simónés, y línea divisoria correspondiente
con otras de España y Portugal, por la parte del río Ma
kanon, y demandando al mismo senor los he hecho com
pulsar para efecto de nominarlo al Senor Presidente de
la Real Audiencia como alcalde indiano en Cadiz cuyo
copia devolví al mencionado Senor por yo
conocer copia devolví al mencionado senor por yo
Cap. Genl. Don Antonio y Orendáceos Crisanto Espin
Cap. Genl. Don Antonio Orendáceos Crisanto Espín
mon Phégo de papel el de sello segundo y los demás del
comun y onefe el ello lo siguen firmano en Caracas en
año de mil setecientos sesenta y ocho años
Damos fe que Don José Orellana de Aguanave Agnada y
firmado la copia anotada de este escrito numero treinta y uno
y sus sentencias siempre se han habido de observar
fejo Sen Rueda confirmo y pago consta lo certifica
mo y firmamos
en Caracas a cinco de marzo de mil setecientos
sesenta y ocho años
Manuel de Herrera
Contratación 5660 f. 4","---  
Te testimonios me fueron otorgadas por el Senor  
Don José Solano Cavallero, al orden del mismo hago cap  
del navío de la Real Armada que ella compone la Cavallería  
nos fué mandado traernos, porque yo y Cap. Genl. Alejandrina Rosa  
aviso cargo conocer los negocios correspondientes a la Real  
expedición de Simónés, y la línea divisoria correspondiente  
con otras de España y Portugal, por su parte del río Ma  
kanon, y demandando al mismo señor los he hecho com  
pulsar para efecto de nombrarlo al Señor Presidente de  
la Real Audiencia como alcalde indio en Cádiz cuyo  
copia devolví al mencionado Señor por yo  
conocer copia devolvía al mencionado señor por yo  
Cap. Genl. Don Antonio y Oriendáceos Crisanto Espin  
Cap. Genl. Don Antonio Oriendáceos Crisanto Espín  
mon Phégo de papel el sello segundo y los demás del  
común y onefe el ello lo siguen firmando en Caracas en  
año de mil setecientos sesentayochos años  
Damos fe que Don José Orellana Aguanave Agnada y  
firmado la copia anotada de ese escrito número treinta y uno  
y sus sentencias siempre se han habido observar  
fejo Sen Rueda confirmo y pagó consta lo certifica  
mo y firmamos  
en Caracas a cinco de marzo de milsetecientos  
sesentayochos años  
Manuel de Herrera  
Contratación 5660, f. 4",0.5561,0.8300
100383_img089.jpg,"Á Caracar, y Marzo veinte y ocho de mil setecinco y siete Blm. D. Vm. su Paspn. y esqr. Fructino Iph. Abbad de Venauevnte. Si acaso yo diecubriere alguna cosa lo necese y remetire, como asi mismo la patente luego q se la reciba. Me pondrâ Vm. a la obediencia del Amigo dn Lorenzo Joseph de Riego. = Copia de la carta, cuyo original me ha puesto de manifiesto Da Josepha Antonia de Guandria para sacar este traslado que concuerda entodo con ella a que me remito y en fede de ello lo signe y firme en Santerbn. añube de Diciem bre de mil setecientos sesenta y ocho, hauiendo le buelto dha carta original a dha Da Josepha Antonia =","The document is written in Spanish, using a cursive handwriting style typical of the 17th or 18th century. The legibility is moderate, with some parts clearer than others. There are margin notes and a signature at the bottom, but no crossed-out words or stamps are visible.","a. Canaca, y Marzo veinte y ocho de mil setenta
cincuenta y siete Blm. de Vm. su Lapp. y Seg. 1º
Faustino Joseph Abbad de Verauente =
-------Si acaso yo descubriese alguna cosa lo recosere
-------y remitire, como asi mismo la patente lue-
-------go que la reciba.
-------Me pondria Vm. a la obediencia
-------del Amigo Dr. Lorenzo Joseph de Riego.
-------Cocopia de la Carta, cuyo original me ha puesto de manifiesto
-------D. Josepha Antonia de Guardia para sacar este truvala
-------lo que concuerda entodo con ella aque me remito y ense
-------de ello lo signe y firme en santros. aunque de diciem
-------bre demil setecientos sesenta y ocho, haviendole vuelto
-------dha Carta original a dlas. D. Josepha Antonia =
-------_________________________
-------Josepha de Vera
-------Marianeda","---
a. Canaca, y Marzo Veinte y ocho de mil setenta
Cincuenta y siete Blm. de vm. su Lapp. y seg. 1º
Faustino Joseph Abbado de Verauente =
--------Si acaso yo descubriere alguna cosa lo recosere
--------y remitire, como así mismo la patente lue-
--------go que la reciba.
--------Me pondría Vm. a la obediencia
--------del Amigo Dr. Lorenzo José de Riego.
--------Copia de la carta, cuyo original me había puesto de manifiesto
--------D. Josefa Antonia de Guardia para sacar este truevala
--------lo que concuerda entodo con ella que me remito y ense
--------de ello lo signe y firme en Santros. aunque de diciem
--------bre de mil setecientos sesenta y ocho, habiéndole vuelto
--------dha carta original a dlas. D. Josefa Antonia =
--------_________________________
--------Josefa de Vera
--------Marianeda
---",0.4379,0.4583
100383_img006.jpg,"Cabeza de este Auto, y que visto y podrón- tenido se le hiciere saber el referido Sr. Joseph Monnoy, para que luego se pase á la forma- cion de los citados Inventarios. Y por este aso lo proveo, y firmó su merced, se que doy en fée en papel común, por no contar Sellado = Juan Valdes = Antonio Jacinto de Mier, Escrivano público.
Luego incontinente yo el presente Escriba- no ayuiendo subixado la Carta, que se ex- presa en el Auto antecesente se lo hice co- nocer á Dn. Joseph Monnoy en su presencia, y que doi fée. De Mier, Escribano
Inventario de bienes.
Inventario, que en virtud de lo proveido arrí- ba, y de lo para ello dispuesto formó el dicho Señor Comandante, y Teniente Gobern- ador Dn. Juan de Dios Valdés advisado con el Consomagrapho Dn. Joseph Monnoy de los bienes, que generalmente se hallaron en la Cava, que era de la habitación de Dn. Joseph Santos de Cabrera Consmo- grato de la Real Expedición, así de los pertenecientes a dicho difunto, como de las alhajas, y Instrumentos, Libros, Ma-","The document is written in Spanish, using a cursive script that suggests it was written in the 18th or 19th century. The handwriting is moderately legible, with some words and phrases more clearly written than others. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.","Cabeza deste Auto, y que uno, y otro con-
tenido se le huyese saber al referido D. Joseph
Monroy, paraque luego se pase al forma-
cion de los citados inventarios. Por ende
assi lo proveio, y firmó su merced, segun soy
enfee en papel comun, poroso conser Señor
Juan Valdés = C. Antonio Facinho de Mier
Escriviano publico.
Diligencia
Luego incontinenti yo el presente Escrivia-
no aviendo subscrito la Carta, que se ex-
presó en el Auto antecedente velo hicie sa-
ber a D. Joseph Monroy en supersona,
segue vai fe= De Mier, Escrivano
Inventario de inventario, que en virtud velo proveido arri-
ba, y de lo paraello dispuesto formó el dicho
Señor Comandante, y Teniente de Gover-
nador D. Juan de Dios Valdés avviado con el
Consomographo D. Joseph Monroy de
los bienes, que generalmente se hallaron
en la Cava, que era de la habitacion de
D. Joseph Santos de Cabrera Consom-
grapho de la Real Expedicion, assi de los
pertenecientes al dicho difunto, como de
las alhajas, y instrumentos, libros ella-","Cabeza deste Auto, y que uno y otro con-
tenido se le huiese saber al referido D. José Monroy, para que luego se pasase al forma-
ción de los citados inventarios. Por ende,
así lo proveí, y firmó su merced, según soy
enfue en papel común, poroso conser Señor
Joaquín Valdés = C. Antonio Facincho de Mier
Escrivano público.
Diligencia
Luego incontinente yo el presente Escrivia-
no aviendo subscrito la carta, que se expre-
só en el Auto antecedente, velo hice sa-
ber a D. José Monroy en supersona,
según vai fe = De Mier, Escrivano.
Inventario del inventario, que en virtud velo provisto arri-
ba, y de lo para ello dispuesto, formó el dicho
Señor comandante, y teniente de gover-
nador D. Juan de Dios Valdéz avviado con el
Consomógrafo D. José Monroy de
los bienes que generalmente se hallaron
en la cava, que era de la habitación de
D. José Santos de Cabrera Consomo-
grafo de la Real Expedición, así de los
pertenecientes al dicho fallecido, como de
las alhajas y instrumentos, libros ella-",0.2026,0.5722
100383_img060.jpg,"trescientos, setenta, y ocho = Recibí de D. Francisco Rodriquez y Villalba, como Depositario de los Caudales de la Real Expecicion de limites la cantidad de ocho pdo oro rea, diez y siete maravedis importe de la compulsa de los Autos de la Testamentaria de D. Joseph Santos con inclusion de papel sellado, y blanco por mis dchos. como Escrivano; y para que conste lo firmé Jph. de Eleizalde Decretos Caracas cinco de Marzo de mil setecientos y ocho = Apruévase a Dn Franco Rodriquez y Villalba Depositario de los caudales pertenecientes a los Individuos que fallecieron mestados en el onico la cuenta que ha formado por lo respectivo a los bienes que quedaron por fallecido Dn Joseph Santos Cabrera su distribución y paga con lo que se ha por relevado de la obligación en que se contrinyuo por el Depositario al Ganoranza qualquier de los Escribanos como corresponde y Esse Decreto dara un testimonio al suplicante para enjuarda de su dcho = Solano = Concuerda con los autos orig; que para efecto de pagar es","The document is written in Spanish, using a cursive handwriting style typical of the late 18th to early 19th century. The legibility is moderate, with some parts slightly difficult to read due to the cursive nature and slight smudging. There are no margin notes, crossed-out words, or stamps visible, and it appears to be a single-column document.","Recibi se
d. Francisco Rodriguez, y Villalba, como
depositario selos Causales vela Real Expe-
sicion de limites la cantisa se ocho p. dos rea,
diez y siete maravedis, importe se la com-
pulsa selos Autos de la Testamentaria de
d. Joseph Santos con inclusion selopel sella-
do, y blanco porximo años, como Testimano; y
para que conste lo firmé = Jph. de Eleizalde.
Decreto =
Caracas cinco & Mayo & mil setecen-
sesenta y ocho = Apruebase a d. Fran
Rodriguez & Villalba Depositario de
los causales pertenecientes a los Indi-
viduos q. fallecieron intestados en el Ori-
noco la cuenta que ha formado por lo
respectivo a los bienes q. quedaron por falle
cim d. D. Joseph Santos Cabrera sudis
tribucion y paga con lo q. se ha por vele
vado. Ella obligacion en que se consigno
por el Deposito el q. anorara qualq. a
lo Censib. p. como corresponde y Cesse
Decreto dara un testimonio al su-
plicante p. en guarda & su año = Sola-
no =
Concedida, Conde Antonio Ortez, que para afecto & favor es","Recibí se
d. Francisco Rodríguez, y Villalba, como
Depositario selos Causales vela Real Expres-
sición de límites la cantidad se ocho p. dos reales,
diez y siete maravedís, importe se la com-
pulsó selos Autos de la Testamentaría de
d. José Santos con inclusión selopel sellado,
y blanco por próximos años, como Testimano; y
Para que conste lo firmé = Jph.de Eleizalde.
Decreto=
Caracas cinco & Mayo & mil setecien-
sesenta y ocho = Apruébase a d. Fran
Rodríguez & Villalba Depositario de
Los causales pertenecientes a los Indivi-
duos que fallecieron intestados en el Ori- 
noco la cuenta que ha formado por Lo
respectivo a los bienes que quedaron por falle
cimiento d. D. José Santos Cabrera sus dis
tribución y paga con lo que se ha por vele
vado. La obligación en que se consignó
por el Deposito el que anorara cualquiera
lo Censible p. como corresponde y Cese
Decreto dará un testimonio al supli-
cante p. en guarda & su año = Solo-
no=
Concedida, Conde Antonio Ortega, que para afecto & favor es",0.2411,0.5739
100383_img028.jpg,"xio de accidente epidemico de escorbuto, y por tal segun orden de Su Magestad debe quemarse todo quanto aya recelo pues causa perjuicio á los vivientes; y para que el Señor Comandante D. Eugenio de Albarrado dé la orden conveniente al beneficio publico firmo esta de mi mano en el Real Presidio de Guayana hoi veinte y seis de Mayo de mil setecientos cinquenta y cinco - Antonio Alvarez En fuerza de esta Certificacion pasara a quemar todas las piezas que contiene esta lista el propio Cirujano Certificante con intervencion del Cosmografo D. Joseph Mariano Monnroy, como encargado de mi orden de recoger los muebles pertenecientes al Rey, que tenia el defunto; y luego que se haia hecho la quema ponera, a continuacion de esta orden la Certificacion de haverse avia ejecutado. Guayana, 26 de Mayo veinte y seis de mile setecientos cinquenta y cinco - D. Eugenio de Albarrado. Certifico haverse hecho esta quema...","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderately legible, with some words and phrases more clearly written than others. There are no margin notes, crossed-out words, multiple columns, or stamps visible in the image.","xió de accidente epidémico desconocido,
y por tal según orden de Su Magestad
debe quemarse todo quanto haya recelo pue-
sa ser perjuicio a los vivientes; y para
que el Señor Comandante D. Eugenio de
Alvarado de la orden conveniente al be-
neficio público firme esta semimanó en el
Real Presidio de Huayana hoy veinte, y
seis de Mayo de mil setecientos cincuen-
ta y cinco = Antonio Alvarez
En fuerza de esta Certificación pasará a
quemar todas las piezas, que contiene esta
lista el propio Don Isidro Certificante con
intervención del Cosmógrafo D. Joseph
Mariano Monroy, como encargado de
mi orden de recoger los muebles pertene-
cientes al Rey, que tenía el Junto; y luego
que se haya hecho la quema pondrá a con-
tinuación de esta orden la Certificación
de haberse aquí ejecutado. Huayana, y
Mayo Veinte, y seis de mil setecientos ci-
ncuenta y cinco = D. Eugenio de Al-
varado.
Certifico haberse hecho esta quema","xío de accidente epidémico desconocido,  
y por tal según orden de Su Magestad  
debe quemarse todo cuanto haya recelo pue-  
sa ser perjuicio a los vivientes, y para-  
que el Señor Comandante d. Eugenio de  
Alvarado de la orden conveniente al ben-  
eficio público firme esta semimanó enel  
Real Presidio de Huayana hoi veinte, y  
seis de Mayo de mil setecientos cinquan-  
ta y cinco = Antonio Alvarez  
En fuerza de esta Certificación passará a  
quemar todas las piezas, que contine esta  
lista el propio Don Isidro Certificande con  
intervencion del Cosmógrafo d. Joseph  
Mariano Monroy, como encargade de  
mi orden de recoger los muebles pertenen-  
cientes al Rey, que tenia el Junto; y luego  
que se halle hecho la quema pondrá a con-  
tinuacion de esta orden la Certificación  
de haberse aquí executado. Huayana, y  
Mayo veinte, y seis de mil setecientos cin-  
cuenta y cinco = d. Eugenio de Al-  
varado.  
Certifico haberse hecho esta quema",0.1565,0.4194
100383_img115.jpg,"Para despachos de oficio quarto más.
SELLO QUARTO, AÑO DE MIE
SETECIENTOS Y SETENTA Y
TRES.
Josepha Anta e Guardia viuda de D.ph
Santos Cabrera se alcance en vuelto, y
sex ente el unico caudal que resulta haver
quedado por su fallecimiento. Buelvan estos autos
ala este de cámara donde se custodien a
los efectos q[ue] haya lugar: Es mandaron los
N. Pres. y Oidores de la RL. Audti. e Contratacion
a Ind. en cadiz a veinte y tres de Abril
mil setecientos setenta y tres.","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderately legible, though some parts are slightly difficult to decipher due to the cursive style. The document includes a stamp at the top left corner and a signature at the bottom right, indicating its official nature. There are no visible margin notes, crossed-out words, or multiple columns.","Para despachos de oficio nuestro mío
SELLO QUARTO, AÑO DE MIL
SETECIENTOS Y SETENTA Y
TRES.
Dorotha Ant. I Guardia viuda D. Joh
Santos Cabrera el Alcance en vuelo, y
sea este el único caudal que resulta haber
quedado por su fallecimiento. Buelvan estos autos
a la est. de Camara, donde se custodien a
sus efectos si haya lugar. Se mandaron los
N. Pres. y Oss. alla M. Aud. de Contratación
a Ind. en Cadiz a veinte y tres de Abril
mil setecientos setenta y tres
S. Valladiego","Para despachos de oficio nuestro nuestro mío
SELLO QUARTO AÑO DE MIL SETECIENTOS Y SETENTA Y TRES.
Dorotha Ant. I. Guardia viuda D. Joh Santos Cabrera el alcance en vuelo, y sea este el único caudal que resulta habérse quedado por su fallecimiento. Buevan estos autos a la est. de camara, donde se custodien a sus efectos si haya lugar. Se mandarón los N. Pres. y Oss. allá M. Aud. de Contratación a Ind. en Cádiz a veinte y tres de Abril mil setecientos setenta y tres.
S. Valladiego",0.2043,0.6351
100383_img016.jpg,"blanco
Concuya partida se concluye este Inventario, por no contener otras bienes asi pertenecientes á Su Magestad como al dicho difunto Dn Joseph Santos, que inventariar, y en virtud de ello, y que constante sea la formacion lo firmaron los referidos Señor Comandante, y el Cosmografo Dn Joseph Mariano Monzoy, de que doy fé en el citado dia veinte y seis de Mayo = Juan Valdos = Joseph Mariano Monzoy = Antemi = Jacinto de Mier Evora Cuartacha. Ciudad de Santo Thome de la Guayana en veinte y siete dias del citado mes, y año ante mi el presente Escrivano parecio presente Dn Joseph Mariano Monzoy Cosmografo de la Real Expedicion, á quien doy fe que conozco, y dijo: que ha recibido, existido, y sacado del Cuerpo de los Inventarios antecedentes todas las partidas que en ellos tocan, y pertenecen a Su Magd y son comprendidos dessdel num. prim.","The document is written in Spanish, using a cursive handwriting style typical of the 18th or early 19th century. The legibility is moderate, with some parts slightly difficult to decipher due to the cursive nature and slight smudging. There are no margin notes, crossed-out words, or stamps visible, and it appears to be a single-column text.","Concurso particular se concluyó este inventario, porque contiene otras bienes así pertenecientes a su Majestad como al dicho difunto D. Joseph Santos,
que inventariar y enviaras se ello, y que constante sea su formación lo firmaron
los referidos señores Comandante, y
el Consomographo D. Joseph Mariano
Monroy, segúe soy fe en el citado
día veintey seis de Mayo = Juan Sab
dos = Joseph Mariano Monroy = An-
temi = Facinto de Mica Evox. p.
Cartas recibos
En esta dicha Ciudad de Santo Thome
de la Guayana en veinte y oiete días del
citado mes, y año anterior al presente Es-
cribano pareció presente D. Joseph Ma-
riano Monroy Consomographo de la
Real Expedición, a quiendo soy fe que co-
nozco, y sirvió que ha recibido, existido, y
sacado del Cuerpo de los Inventa-
rios antecedentes todas las partidas, q
emello tocar, y pertenecen a Su Mag,
y son comprendidas desde el num. prim.","Concursos particulares se concluyó este inventario, porque contienen otras bienes así pertenecientes a Su Magestad como al dicho difunto D. José Santos,
que inventariar y enviaran se ello, y que constante sea su formalización lo firmaron
los referidos señores comandante, y
el Consomógrafo D. José Mariano
Monroy, según soy fe en el citado
día veintiséis de Mayo = Juan Sab
dos = José Mariano Monroy = An-
tenu = Facinto de Mica Evox. P.
Cartas recibos  
En esta dicha Ciudad de Santo Thome  
de la Guayana en veinte y siete días del  
citado mes y año anterior al presente Es-  
cribano pareció presente D. José Ma-  
riano Monroy Consomógrafo de la  
Real Expedición, a quien soy fe que co-  
nozco, y sirvió que había recibido, existido, y  
sacado del Cuerpo de los Invento-  
rios antecedentes todas las partidas, que  
emello tocara, y pertenecen a Su Mage,  
y son comprendidas desde el num. prim.",0.2184,0.5541
100383_img004.jpg,"al Rey pertenece) entregar a los testamentarios los bienes, que fueron del difunto, para que cumplan su ultima disposicion, y servira uno, y oficio D.n Joseph Monroy de darme aviso de todo para mi inteligencia, bien entendido que hecha la Separacion de los bienes de Rey, y entregado de ellos el Cosmografo D.n Joseph Monroy otorgara la Correspondiente Carta de Recibo en el Cuerpo de Autos, que se deben formar, assi como se hizo con la Testamentaria del difunto D.n Antonio de Pxsutia. Rio Señor guarde a Vmd. muchas años. Mision de Huay veinte y cinco de Mayo de mil setecientos cincuenta y cinco. P.d. L. M. e V.ma. Humna, a su afecto servidor D.n Eugenio de Albareza S.D. Juan de Dios Valdes.

En otra Ciudad de Santo Thome de la Guayana en veinte y seis dias del mes de Mayo de mil setecientos cincuenta y cinco años el Señor D.n Juan de Dios Valdes Capitan de la Infanteria que guarnece este Presidio, y Castellano de las Reales Fuerzas por Su Magestad, Ten General de Comisos, Thente de Gobernador, Jus","The document is written in Spanish, using a cursive script typical of the 17th or 18th century. The handwriting is moderately legible, with some words and phrases more clearly written than others. There are no margin notes, crossed-out words, multiple columns, or stamps visible in the image.","al Rey pertenece) entregar a las testamento
rios los bienes, que fueren del difunto, para que
cumplan su ultima disposicion, y se ejecutiven,
y susocio Dn. Joseph Monroy se darme aviso de
todo para mi inteligencia, bien entendido que he-
cha la separacion se los efectos al Rey, y entregat
do estos ellos el Cosmografo Dn. Joseph Monroy
otorgara la correspondiente Carta de Recibo en
el Cuerpo de Autos que se deben formar, assi
como se hizo con la testamentaria del difun-
to Dn. Antonio de Vizcaya. Mio Senor
quiere a Vmo. muchos años. Mission de Guay
veinte y cinco de Mayo de mil setecientos cin-
quenta y cinco = D. L. M. de Vmo. Simas afecto
Sevador = Dn. Eugenio de Albares = S. d.
Juan de Dios Valdes.
Auto de proceder
En esta Ciudad de Santo Thomas de la Guayana
en veinte y seis dias del mes de Mayo de mil
seiscientos setenta y cinco años el Senor an
Juan de Dios Valdes Capitan de la Infanteria,
que guarnece este Presidio, y Cartellano de
sus Reales Tropas por su Magestad, Tier
General de Comision, Then. de Governador, Sus-","al Rey pertenece) entregar a los testamentos
de los bienes, que fueran del difunto, para que
cumplan su última disposición, y se ejecuten,
y susocio Dn. José Monroy se darme aviso de todo para mi inteligencia, bien entendido que ha
hecho la separación de los efectos al Rey, y entregado estos ellos el Cosmógrafo Dn. José Monroy
otorgará la correspondiente Carta de Recibo en el Cuerpo de autos que se deben formar, así
como se hizo con la testamentaria del diferen-
to Dn. Antonio de Vizcaína. Mi Señor
quiere a Vm. muchos años. Misión de Guay
veinte y cinco de mayo de mil setecientos cin-
uenta y cinco = D.L.M. de Vm. Simas afecto
Señor = Dn. Eugenio de Albarrán = S. d.
Juan de Dios Valdés.
Auto de proceder
En esta ciudad de Santo Tomás de la Guayana
en veintiséis días del mes de mayo de mil seiscientos setenta y cinco años el Señor an
Juan de Dios Valdés Capitán de la Infantería,
que guarneció este Presidio, y Cartelano de sus Real Tropas por su Magestad, Tierr
General de Comisión, Then. de Gobernador, Sus-",0.1960,0.4944
100383_img015.jpg,"Lt. otro forrado Item A Pictures
Lt. otro de caminas chicas que representan bastiones de lmar Mitemano forrado Item
Lt. otro maquinas hidráulicas de molinos y herrerías
Lt. otro tratado de Astrolabio forrado en pergamino
Lt. otro manuscrito de Astronomía forrado Item
Lt. otro tratado de Esfera forrado idem
Lt. otro de Elementos Mathematicos forrado Item
Lt. Otro Tablas de paralaxe manuscrito forrado Idem
Lt. Otro Astronomía en Latin conservado forrado Idem
Lt. Otro manuscrito de Algebra for- rado Item
Lt. Otro de Astronomía universal de Serrano forrado Idem
Lt. una capita con lápices colorados, y azul
Lt. dos Canutas con conchillas de color
Lt. un libro encuadernado en pape","The document is written in Spanish, using a cursive script that suggests it was written in the 18th or 19th century. The handwriting is moderately legible, with some words and phrases more clearly written than others. There are no visible margin notes, crossed-out words, or stamps, and the text appears in a single column.","Yt. otro jornado Zsem de Archer
Yt. otro de caminos Chica, que representan bastiones de lmar Miterrano
jornado idem
Yt. otro maquinas Zemulicas de molino
y herrerias
Yt. otro tratado de Astronolabio jornado
emprexamino
Yt. otra manuescrito de Astronomia
jornado Zsem
Yt. otro tratado de Esfera jornado idem
Yt. otros de Clementos Mathematicas jor-
nado Zsem
Yt. Otros Tablas e paralaxe manuescri-
to jornado Zsem
Yt. otro Astronomia en Latin conse-
nasa, jornado Zsem
Yt. otro manuescrito de Algebra jor-
nado Zsem
yt. otro de Astronomia universal
de Searano jornado Zsem
Yt. una Capita con lapides colorado, y
azul
Yt. dos Capitas con conchillar de color
Yt. un libro enquadernado en pape","Yt. otro jornado Zsem de Archer  
Yt. otro de caminos chica, que representan bastiones del mar Mediterráneo  
jornado idem  
Yt. otro maquinas zemulicas de molino  
y herrerías  
Yt. otro tratado de Astronólabio jornado  
emprexamino  
Yt. otra manuscrito de Astronomía  
jornado Zsem  
Yt. otro tratado de esfera jornado idem  
Yt. otros de elementos matemáticas jor-  
nado Zsem  
Yt. Otros tablas e paralaxe manuscrit-  
to jornado Zsem  
Yt. otro Astronomía en latín conse-  
nasa, jornado Zsem  
Yt. otro manuscrito de Algebra jor-  
nado Zsem  
yt. otro de Astronomía universal  
de Searano jornado Zsem  
Yt. una capita con lápidas coloradas, y  
azul  
Yt. dos capitas con conchillar de color  
Yt. un libro encuadernado en pape",0.2331,0.7216
