File,Ground_Truth,Stage1_Analysis,Stage2b_Literal,Final_Prediction,CER,WER
Rodrigo_00410_23.png,Cordoua otra vez sus gentes e vino sobre la çib,"The document appears to be written in Latin script, likely from the medieval or early modern period, given the style of handwriting. The legibility is moderate, with some letters and words being more difficult to decipher than others. There are no visible margin notes, crossed-out words, multiple columns, or stamps in the provided image.",Sorsouna otra vez sus gentes o Vino sobre la,Sorsouna otra vez sus gentes o Vino sobre la,0.1915,0.4000
Rodrigo_00083_05.png,"alli eran, que todo se quemase & se fiziesse ceniza, & no lo oui","The language is Old Spanish, and the handwriting style suggests it is from the late medieval to early modern period, likely between the 15th and 17th centuries. The legibility is moderate, with some characters being slightly difficult to decipher. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.","alli eran, que todo se quemase y se fiziese ceniza, y nolo ouy","alli eran, que todo se quemesse y se fizesse ceniza, y nolo ouy",0.1094,0.5000
Rodrigo_00114_06.png,y el templo de diana que las Amazonas sus mugeres e sus,"The language is Spanish, and the script appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries. The handwriting is moderately legible, with consistent letter forms and spacing. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",y el templo de diana que las Amazonas sus mugeres y sus,y el templo de Diana que las Amazonas sus mujeres y sus,0.0545,0.2500
Rodrigo_00108_19.png,los godos y assi se torno sin lid vergonçoso y confundido. Y,"1. The language is Spanish.
2. The handwriting appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries, given the style of the script.
3. The legibility is moderate; some letters are clear, while others are more difficult to decipher.
4. There are no visible margin notes, crossed-out words, multiple columns, or stamps in the provided image.",los gozos y assi se toxno sin las vergonços y confusidão.,los gozos y así se toxno sin las vergonzas y confusión.,0.2500,0.5833
Rodrigo_00131_18.png,suyos hablando con el en grande Amistad degollolo era de,"1. The language is Spanish.
2. The handwriting appears to be from the 17th or 18th century, judging by the style and formality.
3. The legibility is moderate; some letters are clear, while others are less distinct.
4. There are no visible margin notes, crossed-out words, multiple columns, or stamps in the provided image.",suyos hablanso conel engrande Amistad degollolo era de,suyos hablanso con el engrande Amistad degollalo era de,0.0536,0.4000
Rodrigo_00220_03.png,ramolin. e A nouenta y vn Año del Reino de los Alaraues era,"1. The language is Spanish.
2. The handwriting appears to be from the 16th or 17th century, judging by the style and formality of the script.
3. The legibility is moderate; some letters are clear, while others are more difficult to decipher.
4. There are no margin notes, crossed-out words, multiple columns, or stamps visible in the image.",ramolin. 7. A nonenta y vn Año del Reino de los Alavaues era,ramolin. 7. A noventa y un año del Reino de los Alavaues era,0.1017,0.3846
Rodrigo_00241_00.png,¶ Agora cuenta la historia,"The language is Latin, and the script appears to be a form of medieval or early modern handwriting, possibly from the 15th or 16th century. The legibility is moderate, with some letters being slightly difficult to decipher. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",Mgora cuenta la historia,Magra cuenta la historia,0.1538,0.4000
Rodrigo_00062_09.png,los hombres andar por el lugar a menos de Auer Ay sus cal,"1. The language is Spanish.
2. The handwriting style suggests it is from the late medieval to early modern period, likely between the 15th and 17th centuries.
3. The legibility is moderate; the script is somewhat cursive, which can make it challenging to read at first glance.
4. There are no visible margin notes, crossed-out words, multiple columns, or stamps in the provided image.",los hombres andan por el lugar a menos de Aver Ay sus cal,los hombres andan por el lugar a menos que Aver Ay sus cal,0.0702,0.2308
Rodrigo_00412_08.png,164 ¶ de Como casso Ruy velasqz con,"The document appears to be written in Latin script, likely from the late medieval to early modern period, given the style of the handwriting. The legibility is moderate, with some letters being somewhat difficult to decipher. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the provided image.",De Lomo casso Ruy velasq con,De Lomo casso Ruy Velasco con,0.3143,0.6250
Rodrigo_00273_02.png,"la grandia y la nobleza del rei don Alfonso, e los homes buenos","The language is Spanish, and the script appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries. The handwriting is moderate in legibility, with some characters that are slightly difficult to decipher. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",la gransia y la nobleza desrei don Alfonso -7 los homes buenos,la gransia y la nobleza del rei don Alfonso -7 los homes buenos,0.0635,0.2308
Rodrigo_00209_16.png,de non venir A toledo a concilio. Empero qe fueron escusa,"The language used is Latin, and the handwriting appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries. The legibility is moderate, with some characters being slightly difficult to decipher. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",de non venir A Toledo a concilio. Empero q' fueron esensa,de non venir a Toledo a concilio. Empero que fueron esensa,0.0877,0.3636
Rodrigo_00221_09.png,espadas al cuello pendones altos. E el Rei Rodrigo y to,"The language used is Spanish, and the handwriting appears to be from the late medieval to early modern period, likely between the 15th and 17th centuries. The legibility is moderate, with some characters being slightly difficult to decipher. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",espadas al cuerpo pendones altos · E el Rei Rodrigo yto,espadas al cuerpo pendones altos · E el Rei Rodrigo yto,0.0909,0.4545
Rodrigo_00384_14.png,qe lo non touiessen por couarde e por mintroso apartose de,"The language is Latin, and the script appears to be from the Middle Ages, likely between the 12th and 15th centuries. The handwriting is moderately legible, with consistent letter forms and spacing. There are no special features such as margin notes, crossed-out words, multiple columns, or stamps visible in the image.",lo non toniessen por conarfe a por mintroso a partosede,lo non toniessen por conarfe a por mintroso a partosede,0.1552,0.5455
Rodrigo_00231_15.png,do y axerses el gran señor de babilonia y de assiria y /,"1. The language appears to be Spanish.
2. The handwriting style suggests it is from the late medieval to early modern period, likely between the 15th and 17th centuries.
3. The legibility is moderate; the script is somewhat cursive, which can make it challenging to read at first glance.
4. There are no visible margin notes, crossed-out words, multiple columns, or stamps in the provided image.",do y a xerxes el gran senor de babylonia y de assicia y,do y a Xerxes el gran señor de Babilonia y de Assicia y,0.1429,0.3846
